Chapter,Verse Number,Verse,Translation
1,29,वैश्य उवाच॥,The merchant said:
1,30,एवमेतद्यथा प्राह भवानस्मद्गतं वचः॥,"“Even as you say it, this very thought occurs to me. But what can I do? My heart is not inclined to rancor"
1,31,किं करोमि न बध्नाति मम निष्ठुरतां मनः ।यैः सन्त्यज्य पितृस्नेहं धनलुब्धैर्निराकृतः॥,"but still turns with affection to those who drove me away, scorning love for father, husband, and kinsman, out of lust for wealth."
1,32,पतिस्वजनहार्दं च हार्दितेष्वेव मे मनः ।किमेतन्नाभिजानामि जानन्नपि महामते॥,"I recognize this, O wise one. Still, I do not understand how my thoughts are drawn in love to my unworthy kinsfolk."
1,33,यत्प्रेमप्रवणं चित्तं विगुणेष्वपि बन्धुषु ।तेषां कृते मे निःश्वासो दौर्मनस्यं च जायते॥,"Because of them I sigh, overcome with despair."
1,34,करोमि किं यन्न मनस्तेष्वप्रीतिषु निष्ठुरम्॥,"What can I do, since the pain has failed to harden my heart?”"
1,35,मार्कण्डेय उवाच॥,Mārkaṇḍeya said:
1,36,ततस्तौ सहितौ विप्र तं मुनिं समुपस्थितौ॥,"Then together they approached the sage,"
1,37,समाधिर्नाम वैश्योऽसौ स च पार्थिवसत्तमः ।कृत्वा तु तौ यथान्यायं यथार्हं तेन संविदम्॥,"that merchant named Samādhi and Suratha, the best of kings."
1,38,उपविष्टौ कथाः काश्चिच्चक्रतुर्वैश्यपार्थिवौ॥,"Having observed the respect that was the sage’s due, the merchant and the king sat down to tell their stories."
1,39,राजोवाच॥,The king said:
1,40,भगवंस्त्वामहं प्रष्टुमिच्छाम्येकं वदस्व तत्॥,"“Revered sir, I wish to ask you one thing. Please reply."
1,41,दुःखाय यन्मे मनसः स्वचित्तायत्ततां विना ।ममत्वं गतराज्यस्य राज्याङ्गेष्वखिलेष्वपि॥,"Without control of my thoughts, my mind is coming to grief."
1,42,जानतोऽपि यथाज्ञस्य किमेतन्मुनिसत्तम ।अयं च निकृतः पुत्रैर्दारैर्भृत्यैस्तथोज्झितः॥,"I remain possessive toward my lost kingdom and all parts of the realm as if unaware that they are no longer mine. Venerable sage, how can this be?"
1,43,स्वजनेन च सन्त्यक्तस्तेषु हार्दी तथाप्यति ।एवमेष तथाहं च द्वावप्यत्यन्तदुःखितौ॥,"And this fellow has been humiliated by his children and wife, deserted by his servants, and forsaken by his own people. Still he feels exceeding affection for them."
1,44,दृष्टदोषेऽपि विषये ममत्वाकृष्टमानसौ ।तत्किमेतन्महाभाग यन्मोहो ज्ञानिनोरपि॥,"It is the same with me. We both are distressed to the utmost, held by attachment to things, even though we see their faults."
1,45,ममास्य च भवत्येषा विवेकान्धस्य मूढता॥,"Venerable sir, how is it that we who should know better can be so deluded? Ours is the perplexity of those who are blind to right understanding.”"
1,46,ऋषिरुवाच॥,The seer said:
1,47,ज्ञानमस्ति समस्तस्य जन्तोर्विषयगोचरे॥,"“Illustrious king, through the perceptions of the senses, every living being has knowledge of the manifest universe. The objects of sense-perception reveal themselves in various ways."
1,48,विषयाश्च महाभाग यान्ति चैवं पृथक्पृथक् ।दिवान्धाः प्राणिनः केचिद्रात्रावन्धास्तथापरे॥,"Some creatures are blind by day, and others are blind by night. Some creatures see equally by day and night."
1,49,केचिद्दिवा तथा रात्रौ प्राणिनस्तुल्यदृष्टयः ।ज्ञानिनो मनुजाः सत्यं किं तु ते न हि केवलम्॥,"Truly, humans are endowed with the power of perception, but they are not alone, for cattle, birds, wild animals, and all other living creatures also perceive."
1,50,यतो हि ज्ञानिनः सर्वे पशुपक्षिमृगादयः ।ज्ञानं च तन्मनुष्याणां यत्तेषां मृगपक्षिणाम्॥,"That awareness which humans have, birds and beasts possess also; and their awareness, humans have, too. In other ways also the two are similar."
1,51,मनुष्याणां च यत्तेषां तुल्यमन्यत्तथोभयोः ।ज्ञानेऽपि सति पश्यैतान् पतङ्गाञ्छावचञ्चुषु॥,"Look at these birds. Though feeling the pangs of hunger, out of delusion they still busy themselves by dropping food into the beaks of their young."
1,52,कणमोक्षादृतान् मोहात्पीड्यमानानपि क्षुधा ।मानुषा मनुजव्याघ्र साभिलाषाः सुतान् प्रति॥,"Illustrious sir, humans long for offspring, surely expecting gratitude in return. Do you not see this?"
1,53,लोभात् प्रत्युपकाराय नन्वेतान् किं न पश्यसि ।तथापि ममतावर्त्ते मोहगर्ते निपातिताः॥,"In this very manner they are hurled into the whirlpool of attachment, the pit of delusion, by the power of Mahāmāyā, Who produces the continuing cycle of this transitory world."
1,54,महामायाप्रभावेण संसारस्थितिकारिणा ।तन्नात्र विस्मयः कार्यो योगनिद्रा जगत्पतेः॥,"Do not be astonished. This same Mahāmāyā is Yoganidrā, the meditative sleep of Viṣṇu, the lord of the world. By Her this world is deluded."
1,55,महामाया हरेश्चैषा तया सम्मोह्यते जगत् ।ज्ञानिनामपि चेतांसि देवी भगवती हि सा॥,"She, the blessed Goddess Mahāmāyā, seizes the minds of even the wise and draws them into delusion."
1,56,बलादाकृष्य मोहाय महामाया प्रयच्छति ।तया विसृज्यते विश्वं जगदेतच्चराचरम्॥,"She creates all this universe, moving and unmoving, and it is She Who graciously bestows liberation on humanity."
1,57,सैषा प्रसन्ना वरदा नृणां भवति मुक्तये ।सा विद्या परमा मुक्तेर्हेतुभूता सनातनी॥,"She is the supreme knowledge and the eternal cause of liberation,"
1,58,संसारबन्धहेतुश्च सैव सर्वेश्वरेश्वरी॥,even as She is the cause of bondage to this transitory existence. She is the sovereign of all lords.”
1,59,राजोवाच॥,The king said:
1,60,भगवन् का हि सा देवी महामायेति यां भवान्॥,"“Revered sir, Who is that Goddess whom you call Mahāmāyā? How did She originate, and in what ways does She Act?"
1,61,ब्रवीति कथमुत्पन्ना सा कर्मास्याश्च किं द्विज ।यत्प्रभावा च सा देवी यत्स्वरूपा यदुद्भवा॥,"And whatever Her Glory, this Goddess, whatever Her Form and Origin,"
1,62,तत्सर्वं श्रोतुमिच्छामि त्वत्तो ब्रह्मविदां वर॥,"all that I wish to learn from you, who are supreme among the knowers of Brahman.”"
1,63,ऋषिरुवाच॥,The seer said:
1,64,नित्यैव सा जगन्मूर्तिस्तया सर्वमिदं ततम्॥,"“She Is Eternal, having the world as Her Form. She Pervades All This."
1,65,तथापि तत्समुत्पत्तिर्बहुधा श्रूयतां मम ।देवानां कार्यसिद्ध्यर्थमाविर्भवति सा यदा॥,Yet She Emerges in various ways. Hear it from me.
1,66,उत्पन्नेति तदा लोके सा नित्याप्यभिधीयते ।योगनिद्रां यदा विष्णुर्जगत्येकार्णवीकृते॥,"Although She Is Eternal, when She Manifests to accomplish the purpose of the Gods, She Is said to be Born in the world."
1,67,आस्तीर्य शेषमभजत् कल्पान्ते भगवान् प्रभुः ।तदा द्वावसुरौ घोरौ विख्यातौ मधुकैटभौ॥,"At the end of the cosmic day, when the universe dissolved into the primordial ocean, the blessed lord Viṣṇu stretched out on the serpent Śeṣa and entered into meditative sleep."
1,68,विष्णुकर्णमलोद्भूतौ हन्तुं ब्रह्माणमुद्यतौ ।स नाभिकमले विष्णोः स्थितो ब्रह्मा प्रजापतिः॥,"Then two fearsome asuras, the notorious Madhu and Kaiṭabha, issued forth from the wax in Viṣṇu’s ears, intent on slaying Brahmā,"
1,69,दृष्ट्वा तावसुरौ चोग्रौ प्रसुप्तं च जनार्दनम् ।तुष्टाव योगनिद्रां तामेकाग्रहृदयः स्थितः॥,"who was seated on the lotus that grew from Viṣṇu’s navel. When he saw the raging asuras and the sleeping Viṣṇu,"
1,70,विबोधनार्थाय हरेर्हरिनेत्रकृतालयाम् ।विश्वेश्वरीं जगद्धात्रीं स्थितिसंहारकारिणीम्॥,"Brahmā could think of nothing but to awaken him, and to that end he extolled Yoganidrā, Who had settled over Viṣṇu’s eyes"
1,71,निद्रां भगवतीं विष्णोरतुलां तेजसः प्रभुः॥,"as his blessed sleep. The resplendent lord Brahmā extolled Her Who rules the universe, Who Sustains and Dissolves it. He extolled Her Who Is Incomparable."
1,72,ब्रह्मोवाच॥,Brahmā said:
1,73,त्वं स्वाहा त्वं स्वधा त्वं हि वषट्कारः स्वरात्मिका॥,"‘You Are The Mantras of Consecration to the Gods and the ancestors. At Your Bidding They Are Uttered, and they are your very embodiment. You Are The Nectar of Immortality, O Imperishable, Eternal One. Truly, You Abide As The Transcendent Being,"
1,74,सुधा त्वमक्षरे नित्ये त्रिधा मात्रात्मिका स्थिता ।अर्धमात्रा स्थिता नित्या यानुच्चार्याविशेषतः॥,"yet in every moment you abide, inseparable and inexpressible, as the eternal source of all becoming. Indeed You Are That. You Are Sāvitrī, the Source of All Purity and Protection; You Are the Supreme Mother of The Gods."
1,75,त्वमेव सन्ध्या सावित्री त्वं देवि जननी परा ।त्वयैतद्धार्यते विश्वं त्वयैतत् सृज्यते जगत्॥,"By You is this universe supported, of You is this world born, by You is it protected, O Devī, and You always Consume it at the end."
1,76,त्वयैतत् पाल्यते देवि त्वमत्स्यन्ते च सर्वदा ।विसृष्टौ सृष्टिरूपा त्वं स्थितिरूपा च पालने॥,"You Are the Creative Force at the World’s Birth and Its Sustenance for as long as it endures. So even at the end of this world, You Appear as Its Dissolution, You Who Encompass it all."
1,77,तथा संहृतिरूपान्ते जगतोऽस्य जगन्मये ।महाविद्या महामाया महामेधा महास्मृतिः॥,"You Are The Great Knowledge and The Great Illusion, The Great Intelligence, The Great Memory and The Great Delusion, The Great Goddess and The Great Demoness."
1,78,महामोहा च भवती महादेवी महेश्वरी ।प्रकृतिस्त्वं च सर्वस्य गुणत्रयविभाविनी॥,"You Are Primordial Matter, Differentiating into the Threefold Qualities of Everything. You Are The Dark Night Of Periodic Dissolution, The Great Night of Final Dissolution, and The Terrifying Night Of Delusion."
1,79,कालरात्रिर्महारात्रिर्मोहरात्रिश्च दारुणा ।त्वं श्रीस्त्वमीश्वरी त्वं ह्रीस्त्वं बुद्धिर्बोधलक्षणा॥,"You Are Radiant Splendor; You Reign Supreme Yet Are Unassuming; You Are The Light Of Understanding. Modesty Are You, And Prosperity, Contentment, Tranquillity and Forbearance."
1,80,लज्जा पुष्टिस्तथा तुष्टिस्त्वं शान्तिः क्षान्तिरेव च ।खड्गिनी शूलिनी घोरा गदिनी चक्रिणी तथा॥,"Armed With Sword And Spear, And With Club And Discus, Waging War With Conch, Bow And Arrows, Sling And Iron Mace, You Inspire Dread."
1,81,शङ्खिनी चापिनी बाणभुशुण्डीपरिघायुधा ।सौम्या सौम्यतराशेषसौम्येभ्यस्त्वतिसुन्दरी॥,"Yet, You Are Pleasing, More Pleasing Than All Else That Is Pleasing, and Exceedingly Beautiful. Transcending Both Highest and Lowest, You Are Indeed The Supreme Sovereign."
1,82,परापराणां परमा त्वमेव परमेश्वरी ।यच्च किञ्चित्क्वचिद्वस्तु सदसद्वाखिलात्मिके॥,"Whatever exists, true or untrue, and wherever it may be, O Soul of Everything, You Are The Power Of All That. How can I praise You?"
1,83,तस्य सर्वस्य या शक्तिः सा त्वं किं स्तूयसे मया ।यया त्वया जगत्स्रष्टा जगत्पात्यत्ति यो जगत्॥,"By You, even he Who Creates, Protects, and Devours the world is Subdued with Sleep. Who here can praise You?"
1,84,सोऽपि निद्रावशं नीतः कस्त्वां स्तोतुमिहेश्वरः ।विष्णुः शरीरग्रहणमहमीशान एव च॥,"You have caused even Viṣṇu, Śiva, and Me to assume Our embodied forms. Who then can truly praise You?"
1,85,कारितास्ते यतोऽतस्त्वां कः स्तोतुं शक्तिमान् भवेत् ।सा त्वमित्थं प्रभावैः स्वैरुदारैर्देवि संस्तुता॥,"Thus Extolled, O Devī, may You with Your Exalted Powers Confound Those Unassailable asuras, Madhu and Kaiṭabha."
1,86,मोहयैतौ दुराधर्षावसुरौ मधुकैटभौ ।प्रबोधं च जगत्स्वामी नीयतामच्युतो लघु॥,"Let Viṣṇu, the lord of the world, be quickly awakened from his slumber"
1,87,बोधश्च क्रियतामस्य हन्तुमेतौ महासुरौ॥,and be roused to slay the two great asuras.’”
1,88,ऋषिरुवाच॥,The seer said:.’”
1,89,एवं स्तुता तदा देवी तामसी तत्र वेधसा॥,"“Praised thus by the creator to rouse Viṣṇu into slaying Madhu and Kaiṭabha, then and there The Dark Goddess"
1,90,विष्णोः प्रबोधनार्थाय निहन्तुं मधुकैटभौ ।नेत्रास्यनासिकाबाहुहृदयेभ्यस्तथोरसः॥,"Emerged from his eyes, mouth, nostrils, arms, heart, and chest, and appeared before Brahmā, Who is born from the Unmanifest."
1,91,निर्गम्य दर्शने तस्थौ ब्रह्मणोऽव्यक्तजन्मनः ।उत्तस्थौ च जगन्नाथस्तया मुक्तो जनार्दनः॥,"And released by Her, Viṣṇu, the Lord of the world, arose from his serpent couch on the undifferentiated ocean and beheld"
1,92,एकार्णवेऽहिशयनात्ततः स ददृशे च तौ ।मधुकैटभौ दुरात्मानावतिवीर्यपराक्रमौ॥,"the evil-natured Madhu and Kaiṭabha, exceedingly strong and courageous, seeing red with anger and determined to devour Brahmā."
1,93,क्रोधरक्तेक्षणावत्तुं ब्रह्माणं जनितोद्यमौ ।समुत्थाय ततस्ताभ्यां युयुधे भगवान् हरिः॥,"Then the blessed, all-pervading Viṣṇu rose up and fought with them in hand-to-hand combat for five thousand years."
1,94,पञ्चवर्षसहस्राणि बाहुप्रहरणो विभुः ।तावप्यतिबलोन्मत्तौ महामायाविमोहितौ॥,"And they, mad with the arrogance of power and confounded By Mahāmāyā,"
1,95,उक्तवन्तौ वरोऽस्मत्तो व्रियतामिति केशवम्॥,"exclaimed to him, ‘Ask a boon from us! ’"
1,96,श्रीभगवानुवाच॥,The blessed lord Viṣṇu said:
1,97,भवेतामद्य मे तुष्टौ मम वध्यावुभावपि॥,"‘Since you are pleased with me, so be it. I will surely slay both of you now."
1,98,किमन्येन वरेणात्र एतावद्धि वृतं मया॥,What other boon is there to ask?”’
1,99,ऋषिरुवाच॥,The seer said:
1,100,वञ्चिताभ्यामिति तदा सर्वमापोमयं जगत्॥,"“Thus deceived, and beholding that the world consisted entirely of water, they addressed the lotus-eyed Viṣṇu, saying:"
1,101,विलोक्य ताभ्यां गदितो भगवान् कमलेक्षणः ।आवां जहि न यत्रोर्वी सलिलेन परिप्लुता॥,‘Slay us where water does not flood the earth.’”
1,102,ऋषिरुवाच॥,The seer said:
1,103,तथेत्युक्त्वा भगवता शङ्खचक्रगदाभृता ।कृत्वा चक्रेण वै छिन्ने जघने शिरसी तयोः॥,"“‘So be it,’ said Viṣṇu, the wielder of conch, discus, and mace. Taking the two of them onto his lap, he cut off their heads with his discus."
1,104,एवमेषा समुत्पन्ना ब्रह्मणा संस्तुता स्वयम् ।प्रभावमस्या देव्यास्तु भूयः शृणु वदामि ते॥,"Thus did The Devī Herself appear when praised by Brahmā. Hear still more of Her Glory, which I will tell you.”"
2,1,ॐ ह्रीं ऋषिरुवाच॥,OṀ hrīṁ. The seer said:
2,2,देवासुरमभूद्युद्धं पूर्णमब्दशतं पुरा ।महिषेऽसुराणामधिपे देवानां च पुरन्दरे॥,"“Long ago, when Mahiṣa was chief of the asuras and Indra was chief of the gods, there was a war between their forces for a full hundred years."
2,3,तत्रासुरैर्महावीर्यैर्देवसैन्यं पराजितम् ।जित्वा च सकलान् देवानिन्द्रोऽभून्महिषासुरः॥,"The valorous asuras vanquished the army of the gods, and after all were conquered, Mahiṣa became the lord of heaven."
2,4,ततः पराजिता देवाः पद्मयोनिं प्रजापतिम् ।पुरस्कृत्य गतास्तत्र यत्रेशगरुडध्वजौ॥,"Then led by Brahmā, the lord of beings, the defeated gods went to Viṣṇu and Śiva"
2,5,यथावृत्तं तयोस्तद्वन्महिषासुरचेष्टितम् ।त्रिदशाः कथयामासुर्देवाभिभवविस्तरम्॥,and related in detail what had happened. The thirty gods told how Mahiṣāsura had wrought their defeat:
2,6,सूर्येन्द्राग्न्यनिलेन्दूनां यमस्य वरुणस्य च ।अन्येषां चाधिकारान्स स्वयमेवाधितिष्ठति॥,"‘He has usurped the authority of Sūrya, Indra, Agni, Vāyu, and Candra, and of Yama, Varuṇa, and all the others."
2,7,स्वर्गान्निराकृताः सर्वे तेन देवगणा भुवि ।विचरन्ति यथा मर्त्या महिषेण दुरात्मना॥,"Cast out from heaven by the evil Mahiṣa, all the multitudes of gods wander over the earth as mere mortals."
2,8,एतद्वः कथितं सर्वममरारिविचेष्टितम् ।शरणं वः प्रपन्नाः स्मो वधस्तस्य विचिन्त्यताम्॥,"We have related all that this foe of the gods has done, and we seek refuge in You. Be pleased to devise a means for his destruction.’"
2,9,इत्थं निशम्य देवानां वचांसि मधुसूदनः ।चकार कोपं शम्भुश्च भ्रुकुटीकुटिलाननौ॥,"When Viṣṇu and Śiva heard the entreaties of the gods, they knit their brows in fury and contorted their faces,"
2,10,ततोऽतिकोपपूर्णस्य चक्रिणो वदनात्ततः ।निश्चक्राम महत्तेजो ब्रह्मणः शङ्करस्य च॥,"whereupon a great radiance came forth from Viṣṇu’s rage- filled countenance, and so, too, from Brahmā’s and Śiva’s."
2,11,अन्येषां चैव देवानां शक्रादीनां शरीरतः ।निर्गतं सुमहत्तेजस्तच्चैक्यं समगच्छत॥,"And from Indra’s body and from the bodies of all the other gods, a very great light issued, and it united and became one."
2,12,अतीव तेजसः कूटं ज्वलन्तमिव पर्वतम् ।ददृशुस्ते सुरास्तत्र ज्वालाव्याप्तदिगन्तरम्॥,"The gods saw before them a peak of light like a mountain, blazing brightly and pervading the sky in every direction with its flames."
2,13,अतुलं तत्र तत्तेजः सर्वदेवशरीरजम् ।एकस्थं तदभून्नारी व्याप्तलोकत्रयं त्विषा॥,"Unequaled light, born from the bodies of all the gods, coalesced into a female form and pervaded the three worlds with its splendor."
2,14,यदभूच्छाम्भवं तेजस्तेनाजायत तन्मुखम् ।याम्येन चाभवन् केशा बाहवो विष्णुतेजसा॥,"From Śiva’s light came that which formed the Devī’s face. Yama’s radiance formed Her hair, and Viṣṇu’s effulgence became Her arms."
2,15,सौम्येन स्तनयोर्युग्मं मध्यं चैन्द्रेण चाभवत् ।वारुणेन च जङ्घोरू नितम्बस्तेजसा भुवः॥,"The moon god’s soft light formed Her breasts, and Indra’s brilliance became Her waist. Varuṇa’s light became Her legs, and earth’s splendor formed Her hips."
2,16,ब्रह्मणस्तेजसा पादौ तदङ्गुल्योऽर्कतेजसा ।वसूनां च कराङ्गुल्यः कौबेरेण च नासिका॥,"Her feet took shape from Brahmā’s light and Her toes from Sürya’s brilliance. From the Vasus’ light Her fingers formed and from Kubera’s light, Her nose."
2,17,तस्यास्तु दन्ताः सम्भूताः प्राजापत्येन तेजसा ।नयनत्रितयं जज्ञे तथा पावकतेजसा॥,"From Prajāpati’s lustre came Her teeth, and from Agni’s radiance Her three eyes were born."
2,18,भ्रुवौ च सन्ध्ययोस्तेजः श्रवणावनिलस्य च ।अन्येषां चैव देवानां सम्भवस्तेजसां शिवा॥,"Dawn and dusk became Her eyebrows, the wind god’s splendor shaped Her ears, and all else born of the other gods’ light shone too as the auspicious Devī."
2,19,ततः समस्तदेवानां तेजोराशिसमुद्भवाम् ।तां विलोक्य मुदं प्रापुरमरा महिषार्दिताः ।ततो देवा ददुस्तस्यै स्वानि स्वान्यायुधानि च॥,"Then, beholding Her who appeared from out of their amassed light, all those gods, tormented by Mahiṣa, rejoiced."
2,20,शूलं शूलाद्विनिष्कृष्य ददौ तस्यै पिनाकधृक् ।चक्रं च दत्तवान् कृष्णः समुत्पाट्य स्वचक्रतः॥,"Then the gods bestowed on Her their own weapons and adornments. From his trident Śiva drew forth another and gave it to Her,"
2,21,शङ्खं च वरुणः शक्तिं ददौ तस्यै हुताशनः ।मारुतो दत्तवांश्चापं बाणपूर्णे तथेषुधी॥,"and Viṣṇu bestowed a discus spun out from his own. Varuṇa gave Her a conch; and Agni, the eater of oblations, gave Her a spear."
2,22,वज्रमिन्द्रः समुत्पाट्य कुलिशादमराधिपः ।ददौ तस्यै सहस्राक्षो घण्टामैरावताद्गजात्॥,"Vāyu, the wind god, presented a bow and two quivers filled with arrows. Extracting a thunderbolt from his own, Indra, the lord of the immortals,"
2,23,कालदण्डाद्यमो दण्डं पाशं चाम्बुपतिर्ददौ ।प्रजापतिश्चाक्षमालां ददौ ब्रह्मा कमण्डलुम्॥,"the all-seeing one, gave it to Her along with a bell from his elephant Airāvata. From his staff of death Yama produced another staff, and Varuṇa, the lord of waters, gave a noose."
2,24,समस्तरोमकूपेषु निजरश्मीन् दिवाकरः ।कालश्च दत्तवान् खड्गं तस्यै चर्म च निर्मलम्॥,"Brahmā, the lord of beings, gave prayer beads and an ascetic’s waterpot. Sūrya, the bringer of day, bestowed his rays of sunlight on all the pores of Her skin;"
2,25,क्षीरोदश्चामलं हारमजरे च तथाम्बरे ।चूडामणिं तथा दिव्यं कुण्डले कटकानि च॥,"and Kāla, the lord of time, presented a sword and shining shield. The ocean of milk bestowed a necklace of flawless pearls, ever-new garments,"
2,26,अर्धचन्द्रं तथा शुभ्रं केयूरान् सर्वबाहुषु ।नूपुरौ विमलौ तद्वद् ग्रैवेयकमनुत्तमम्॥,"a celestial crest-jewel, earrings, and bracelets, a radiant crescent-shaped ornament, armlets for all Her arms,"
2,27,अङ्गुलीयकरत्नानि समस्तास्वङ्गुलीषु च ।विश्वकर्मा ददौ तस्यै परशुं चातिनिर्मलम्॥,"a pair of shining anklets, a necklace beyond compare, and bejeweled rings for all Her fingers."
2,28,अस्त्राण्यनेकरूपाणि तथाभेद्यं च दंशनम् ।अम्लानपङ्कजां मालां शिरस्युरसि चापराम्॥,"Viśvakarman gave Her a gleaming ax, weapons of all kinds, and impenetrable armor."
2,29,अददज्जलधिस्तस्यै पङ्कजं चातिशोभनम् ।हिमवान् वाहनं सिंहं रत्नानि विविधानि च॥,"Garlands of unfading lotuses for Her head and breast the ocean gave to Her, and yet another magnificent lotus to grace Her hand."
2,30,ददावशून्यं सुरया पानपात्रं धनाधिपः ।शेषश्च सर्वनागेशो महामणिविभूषितम्॥,"Himālaya, the lord of mountains, gave Her a lion to ride upon and jewels of many kinds; and Kubera, the lord of wealth, presented a drinking vessel ever-brimming with wine."
